str,vi,en,
no_notification,Không có thông báo nào,No notification,
notice,Thông báo,Notification,
confirm_logout,Bạn muốn đăng xuất?,Do you want to exit?,
confirm_logout_description,Bạn sẽ không thể theo dõi sức khoẻ của mình sau khi thoát. Bạn vẫn muốn đăng xuất khỏi DiaB?,Your tracking wil not be saved. do you still want to exit?,
close,Đóng,Close,
yes,Đồng ý,Yes,
yes_save,Đồng ý,Save,
show,Hiện,Show,
hide,Ẩn,Hide,
camera_permission_required,Bạn cần cấp quyền truy cập camera để sử dụng tính năng này,Camera permission required,
shared_profile_list,Danh sách chia sẻ hồ sơ,Shared List,
has_share_doctor_profile,Bạn đã chia sẻ hồ sơ cho bác sĩ {} rồi.,Shared profile,
unable_share_doctor_profile,Không thể chia sẻ hồ sơ cho bác sĩ {} do vị trí không hợp lệ,Unable to share profile,
doctor_request_share_profile,Bác sĩ {} muốn xem hồ sơ của bạn. Bạn có đồng ý chia sẻ không?,Doctor request to sharer profile,
share_profile_for_doctor,Bạn muốn chia sẻ hồ sơ cho bác sĩ {}?,Do you want to share profile for doctor ?,
share_profile_description,Việc chia sẻ hồ sơ giúp bác sĩ có thêm thông tin để hỗ trợ chẩn đoán và điều trị. Bạn có thể dừng chia sẻ hồ sơ khi không có nhu cầu.\nBạn có muốn tiếp tục chia sẻ không?,
share_profile_success,Bạn đã chia sẻ thành công!,Success,
share_profile_success_description,Bạn đã chia sẻ thành công hồ sơ cho bác sĩ {}. Bạn có thể dừng chia sẻ tại “danh sách đã chia sẻ”.,"Sharing successed. you can unshare at ""shared list""",
show_shared_list,Xem danh sách đã chia sẻ,Shared list,
stop_sharing,Bạn muốn dừng chia sẻ hồ sơ cho bác sĩ {}?,Do you want to unshare?,
stop_sharing_description,"Sau khi dừng chia sẻ, bác sĩ sẽ không thể theo dõi hồ sơ của bạn nữa.","Once unsharing, doctor will be unanle to see your profile.",
qr_code_not_found,Không tìm thấy mã QR. Bạn hãy thử lại và đặt mã QR ở trung tâm màn hình nhé!,Qr code not found. please try again.,
referral_code_not_exist,Mã giới thiệu không tồn tại!,Referral code not exist,
shared_date,Ngày chia sẻ: {},Shared date,
BloodPressureScreen,#ERROR!,Bloodpressurescreen,
blood_pressure_trend,Xu hướng huyết áp,Blood Pressure Trends,
lowest,Thấp nhất,Lowest,
medium,Trung bình,Average,
highest,Cao nhất,Highest,
heart_rate,Nhịp tim,Pulse,
enter_data,Nhập vào,Input,
mm_hg,mmHg,mmHg,
mm_hg_index,Chỉ sổ,mmHg,
time_per_minute,lần/phút,bpm,
distribution_frequency,Tần suất phân bổ,Distribution,
grade_3_hypertension,Tăng huyết áp độ 3,Hypertension rate 3,
grade_2_hypertension,Tăng huyết áp độ 2,Hypertension rate 2,
grade_1_hypertension,Tăng huyết áp độ 1,Hypertension rate 1,
normal_high,Bình thường cao,Normal high,
normal,Bình thường,Normal,
heart_rate_trend,Xu hướng nhịp tim,Pulse Trends,
update_blood_pressure,Cập nhật chỉ số huyết áp,Blood pressure,
enter_blood_pressure,Nhập chỉ số huyết áp,Blood pressure,
blood_pressure_for_diabetes,Chỉ số huyết áp đối với bệnh tiểu đường,Blood pressure for diabetes,
systolic_diastolic,Tâm thu / tâm trương,Systolic/diastolic,
mes_systolic_empty,Bạn chưa nhập chỉ số tâm thu,Systolic empty,
mes_diastolic_empty,Bạn chưa nhập chỉ số tâm trương,Diastolic empty,
mes_heart_rate_empty,Bạn chưa nhập chỉ số nhịp tim,Mes heart rate empty,
mes_heart_rate_invalid,"Chúng tôi xin lỗi, số liệu nhịp tim mà bạn nhập không trong phạm vi cho phép. Giá trị kỳ vọng nằm dưới 200",Heart rate out of valid range,
blood_pressure_description,"Tăng huyết áp, hay huyết áp cao, rất thường gặp ở những người bị đái tháo đường (tiểu đường) tuýp 2. Dù chưa biết lý do vì sao có sự tương quan đáng kể giữa đái tháo đường và tăng huyết áp nhưng người ta giả định rằng béo phì, chế độ ăn uống nhiều natri và lười vận động dẫn đến sự gia tăng đồng thời cả hai bệnh trên.\n\nTăng huyết áp được biết đến như một “kẻ giết người thầm lặng” vì nó không có triệu chứng rõ ràng. Một cuộc khảo sát năm 2002 của Hiệp hội Đái tháo đường Hoa Kỳ (ADA) cho thấy, khoảng 68% những người bị bệnh đái tháo đường không biết họ cũng có nguy cơ gia tăng bệnh tim và đột quỵ vì liên quan đến tăng huyết áp mạn tính.\n\nTăng huyết áp kéo dài sẽ khiến cho cơ tim mệt mỏi do phải bơm máu với áp lực cao và khiến cơ tim dần giãn rộng ra. Trong năm 2008, những người bệnh đái tháo đường trên 20 tuổi có huyết áp cao hơn 140/90 chiếm tới 67%.\n\nỞ người khỏe mạnh, huyết áp 140/90 được xem là bình thường, nhưng đối với bệnh nhân đái tháo đường tuýp 2, các bác sĩ khuyên bạn nên giữ chỉ số này thấp hơn 135/80.\n\nTrong đó, con số đầu tiên (135) được gọi là huyết áp tâm thu, cho thấy áp lực máu do tim co bóp để bơm đi. Số thứ hai (80), được gọi là huyết áp tâm trương, là áp lực được duy trì trong các động mạch giữa các nhịp co bóp của tim.\n\nNgười khỏe mạnh nên kiểm tra huyết áp vài lần trong năm, nhưng bệnh nhân đái tháo đường cần phải thận trọng hơn. Ngoài việc kiểm tra huyết áp ít nhất bốn lần mỗi năm, các chuyên gia khuyến cáo hãy tự theo dõi tại nhà, ghi lại các chỉ số và thông báo với bác sĩ.","Hypertension is very common in people with type 2 diabetes. although it is unknown why there is a correlation between diabetes and hypertension, it is assumed that obesity, a high-sodium diet, and lack of exercise lead to a simultaneous increase in both diseases. high blood pressure is known as a “silent killer” because it does not have any visible symptom. a survey in 2002 by the american diabetes association (ada) found that about 68% of people with diabetes did not know they also had an increased risk of heart disease and its association with hypertension. long-term elevation of blood pressure will create fatigue for tired mechanics that have to pump with high pressure and gradually relax. in 2008, people with diabetes over 20 years old with blood pressure higher than 140/90 accounted for 67%. in a healthy person, a blood pressure of 140/90 is considered normal, but for patients with 2nd line drip, doctors recommend keeping this number lower than 135/80. meanwhile, the first number (135) is called the systolic pressure, which indicates the pressure during contraction to pump away. the second number (80), called the diastolic pressure, is the pressure maintained in the vessels between the contractions of time. normal people should have their blood pressure checked several times a year, but diabetes patients need to be more careful. besides checking your blood pressure at least every year, experts recommend self-monitoring at home, recording your test and communicating with your doctor.",
BloodSugarScreen,#ERROR!,Bloodsugarscreen,
before_and_after_eating,Trước & sau ăn,Before vs. After Meal,
before_and_after_exercise,Trước & sau tập luyện,Before vs. After Exercise,
choose_time_to_compare,Chọn thời điểm so sánh,Choose period,
choose_time_frame,Vui lòng chọn khung giờ,Time frame,
blood_sugar_trend,Xu hướng đường huyết,Trends,
compare,So sánh,Comparison,
before_after,Trước/Sau,Before/after,
update_blood_sugar,Cập nhật chỉ số đường huyết,Update,
enter_blood_sugar,Nhập chỉ số đường huyết,Update,
blood_sugar_for_diabetes,Chỉ số đường huyết với bệnh tiểu đường,Blood sugar for diabetes,
corresponding_to,Tương ứng với,Corresponding to,
mes_unsafe_blood_sugar,Đường huyết của bạn đang trong ngưỡng không an toàn. Vui lòng kiểm tra lại hoặc cho biết lý do,Your blood glucose is high. please check again or detail the reason.,
mes_blood_sugar_empty,Bạn chưa nhập chỉ số Đường Huyết,No data,
mes_reason_empty,Bạn chưa nhập lí do,Please note down the reason,
blood_sugar_group,Nhóm đường huyết,Sugar group,
result,Kết quả,Vietnamese,
pick_a_model,Chọn 1 trong {} mẫu dưới đây để xem khuyến nghị của bác sĩ,Choose a sample below to see expert's recommendation.,
recommand_blood_sugar_test1,Chúng tôi khuyến nghị bạn đo đường huyết,Diab recommend you to test glucose,
recommand_blood_sugar_test,Chúng tôi khuyến nghị bạn đo đường huyết ít nhất,Diab recommend you to test glucose at least …,
recommand_blood_sugar,Chúng tôi khuyến nghị bạn,Diab recommend,
no_need_to_test,không cần đo,No need to test,
often_testing_blood_sugar,đường huyết thường xuyên.,Testing blood sugar regularly,
time_per_day,{} lần/ngày,Time/day,
time_per_week,{} lần/tuần,Time/week,
upgrade_to_diab_pro,Nâng cấp gói DiaB Pro,Upgrade to pro pack,
survey_again,Làm lại khảo sát,Redo survey,
testing_schedule_suggest,Gợi ý lịch đo,Schedule Recommendation,
blood_sugar_testing_schedule_suggest,Gợi ý lịch đo đường huyết,Blood glucose testing schedule,
show_result,Xem kết quả,Show result,
set_as_my_schedule,Đặt làm lịch của tôi,Set as my schedule,
reset_schedule,Đặt lại lịch gợi ý,Reschedule,
before_go_to_sleep,Trước khi đi ngủ,Before bed,
latest_hba1c_is,DiaB ghi nhận chỉ số HbA1c của bạn lần gần nhất là,Your lastest hba1c is,
back_to_schedule,Trở về lịch của tôi,Back to schedule,
blood_sugar_survey_description,Khuyến nghị lịch đo đường huyết được căn cứ trên gợi ý của Hiệp hội Đái tháo đường Canada. Bạn có thể tham khảo gợi ý này kèm theo tư vấn của bác sĩ đang điều trị cho bạn.,The recommended blood glucose schedule is based on the recommendations of the canadian diabetes association. you can refer to this suggestion along with the advice of your doctor.,
blood_sugar_survey_description_link,http://guidelines.diabetes.ca,Http://guidelines.diabetes.ca,
blood_sugar_survey_done_description,Khuyến nghị lịch đo đường huyết được căn cứ trên gợi ý của hiệp hội đái tháo đường Canada. Bạn có thể tham khảo gợi ý này kèm theo tư vấn của bác sĩ đang điều trị cho bạn.,The recommended blood glucose schedule is based on the recommendations of the canadian diabetes association. you can refer to this suggestion along with the advice of your doctor.,
blood_sugar_survey_update_require,Chức năng dành riêng cho gói Đồng hành. Vui lòng nâng cấp tài khoản để sử dụng tính năng này!,This feature is only for individual package. please update your package to use this feafture.,
survey_question_1,1. Bạn đang mắc đái tháo đường loại nào?,1. what type of diabetes do you have?,
survey_question_2,"2. ""HbA1c của bạn có < 7.0% không?""","2. ""is your hba1c < 7.0%?""",
survey_question_3,3. Bạn đang sử dụng loại thuốc gì?,3. what kind of medication are you taking?,
survey_question_4_1,4. Một ngày bạn tiêm bao nhiêu lần?,4. how many injections have you taken per day?,
survey_question_4_2,4. Có phải bạn mới được chẩn đoán đái tháo đường trong vòng 6 tháng gần đây không?,4. have you been diagnosed with diabetes within the last 6 months?,
survey_answer_1_a,Típ 1,T1 Diabetes,
survey_answer_1_b,Típ 2,T2 Diabetes,
survey_answer_1_c,Đái tháo đường thai kỳ,Gestational Diabetes,
survey_answer_1_d,Tiền Đái tháo đường,Pre-diabetes,
survey_answer_2_a,Có,Yes,
survey_answer_2_b,Không,No,
survey_answer_3_a,Insulin,Insulin,
survey_answer_3_b,Thuốc uống,Oral medicines,
survey_answer_3_c,Ăn kiêng,Diet,
survey_answer_4_1_a,1 lần / ngày,Once a day,
survey_answer_4_1_b,2 lần / ngày,Twice a day,
survey_answer_4_1_c,4 lần / ngày,4 times per day,
survey_answer_4_2_a,Có,Yes,
survey_answer_4_2_b,Không,No,
BMIScreen,#ERROR!,Bmiscreen,
update_weight_info,Cập nhật chỉ số cân nặng,Update,
enter_weight_info,Nhập chỉ số cân nặng,Update,
diabetes_weight_control,Kiểm soát cân nặng bệnh tiểu đường,Weight control,
your_bmi,Chỉ số BMI của bạn,BMI,
kg_m_2,kg/m²,Kg/m2,
weight_and_height,Cân nặng & chiều cao,Weight & Height,
enter_weight,Nhập cân nặng,Enter Weight,
enter_height,Nhập chiều cao,Enter height,
waist,Vòng eo,Waist,
enter_waist,Nhập vòng eo,Enter Waist,
mes_weight_empty,Bạn chưa nhập chỉ số cân nặng,Weight empty,
mes_height_empty,Bạn chưa nhập chỉ số chiều cao,Height empty,
waist_trend,Xu hướng vòng eo,Waist trends,
muc_tieu_vong_eo,Mục tiêu vòng eo,Waist goals,
hien_tai,Hiện tại,Current,
nho_nhat,Nhỏ nhất,Lowest,
lon_nhat,Lớn nhất,Highest,
xu_huong_can_nang,Xu hướng cân nặng,Weight trends,
muc_tieu_can_nang,Mục tiêu cân nặng,Weight Goals,
nhe_nhat,Nhẹ nhất,Lowest,
nang_nhat,Nặng nhất,Highest,
bmi_description,"Người mắc bệnh tiểu đường loại 2 thường cảm thấy khó khăn khi kiểm soát cân nặng. Tình trạng thừa cân hay béo phì lại khiến bệnh nghiêm trọng hơn.\n\nBạn sẽ bất ngờ khi biết thừa cân hoặc béo phì làm tăng nguy cơ xảy ra các biến chứng liên quan đến tiểu đường hoặc ngược lại, người tiểu đường sẽ dễ bị thừa cân và béo phì hơn. Bạn nên giảm cân bằng thói quen ăn uống lành mạnh và tập thể dục kiểm soát đường huyết để giảm nguy cơ biến chứng và nhiều vấn đề về sức khỏe khác. Tuy nhiên, nhiều lúc tiểu đường loại 2 tác động đến cân nặng một cách thầm lặng mà bạn không hề hay biết.\n\nCác yếu tố ăn uống cũng ảnh hưởng đến nguy cơ phát triển tiểu đường loại 2. Việc tiêu thụ đồ uống có đường quá mức sẽ làm gia tăng nguy cơ dẫn đến bệnh tiểu đường. Các loại chất béo trong chế độ ăn uống là rất quan trọng. Chất béo bão hòa và các acid béo chuyển hóa làm tăng nguy cơ, trong khi chất béo không bão hòa đa (polyunsaturated fat) và không bão hòa đơn (monounsaturated fat) làm giảm nguy cơ phát triển bệnh. Thói quen ăn nhiều gạo trắng cũng góp phần làm tăng nguy cơ của bệnh. Ngoài ra, có khoảng 7% bệnh nhân bị tiểu đường là do ít tập thể dục.","People with diabetes type 2 sometimes find it difficult to control weight. obesity or overweight make diabetes treatment getting worst. you'll be surprised to know that obesity or overweight increase the risk of diabetes complications. therefore, losing weight is highly recommended for people with diabetes, by eating healthy, being acive you will reduce remarkbly your weight leading to better health and stablizing blood glucose. 
 however, diabetes also affect your weight silently that you dont even know it, your daily eating habits also raise the risk of developing diabetes type 2, for example, sugary coke, drinks, type of fat like saturated fats and trans fat and high carbohrate food like rice impact strongly on your glucose and weight. 
 moreover, about 7% of people having diabetes is caused by lack of physial activities.",
EmotionScreen,#ERROR!,Emotionscreen,
chinh_sua_cam_xuc,Chỉnh sửa cảm xúc,Edit,
nhap_cam_xuc,Nhập cảm xúc,Enter Symptoms,
kiem_soat_cam_xuc_benh_tieu_duong,Kiểm soát cảm xúc bệnh tiểu đường,Kiem soat cam xuc benh tieu duong,
hom_nay_ban_cam_thay_the_nao,Hôm nay bạn\ncảm thấy thế nào?,How are you?,
scroll_to_select_emotion,Trượt sang trái hoặc phải để chọn 1 cảm xúc,Scroll to left or right to select mood,
trieu_chung_cua_ban,Triệu chứng của bạn,Your Symptoms,
hoat_dong_cua_ban,Hoạt động của bạn,Your Activities,
ban_co_trieu_chung_gi_dac_biet,Bạn có triệu chứng gì\nđặc biệt?,Do you have any symptoms?,
nhan_tiep_tuc_neu_ban_khong_co_trieu_chung_nao,Nhấn 'Tiếp tục' nếu bạn không có triệu chứng nào,"Choose ""next"" if you don’t have any symptoms",
nhap_trieu_chung_khac,Nhập triệu chứng khác,Enter other,
nhap_trieu_chung_cua_ban,Nhập triệu chứng của bạn,Enter symptom,
ban_da_lam_gi_trong_ngay,Bạn đã làm gì\ntrong ngày?,What have you been up to?,
nhan_tiep_tuc_neu_ban_khong_co_hoat_dong_nao,Nhấn 'Tiếp tục' nếu bạn không có hoạt động nào,"Choose ""next"" if you don’t have any activitys",
nhap_hoat_dong_khac,Nhập hoạt động khác,Enter other,
nhap_hoat_dong_cua_ban,Nhập hoạt động của bạn,Enter activities,
tong_quan_hoat_dong,Tổng quan hoạt động,Activites overview,
trieu_chung,Triệu chứng,Symptoms,
trieu_chung_khac,Triệu chứng khác,Other symptom,
hoat_dong,Hoạt động,Activities,
hoat_dong_khac,Hoạt động khác,Other activities,
cam_xuc_cua_ban,Cảm xúc của bạn [DATE] ngày qua,Your feeling in the last [DATE] days
tong_quan_trieu_chung,Tổng quan triệu chứng,Symptom overview,
emotion_description,"Một chẩn đoán bệnh tiểu đường có thể đến như một cú sốc. Bạn có thể trải qua nhiều cảm xúc, và thật bình thường khi có cảm giác tức giận, buồn bã, đau buồn, chối bỏ, mất mát hoặc sợ hãi. Nếu những cảm xúc này trở nên quá khó đối phó, điều quan trọng là nói chuyện với bác sĩ gia đình của bạn hoặc tìm kiếm sự trợ giúp chuyên nghiệp.\nÁp lực của việc theo dõi và quản lý bệnh tiểu đường có thể gây căng thẳng - và căng thẳng có thể gây ra sự dao động về mức đường huyết, cũng như có ảnh hưởng đến sức khỏe tâm thần chung của bạn.\nCố gắng đặt kỳ vọng thực tế và các chiến lược thực tế để đối phó với những suy nghĩ, cảm xúc và cảm xúc liên quan đến bệnh tiểu đường. Cũng cố gắng để giữ một số quan điểm về mục tiêu của bạn và những gì bạn có thể quản lý","When talking about diabetes, that must be a shock when knowing you are diagnosed diabetes. you would go through such feeling: angry, anxious, denial, depressed, or even fear. if these feelings are too hard to overcome, you can talk to your doctor, family or friends or seek for specialist's support. keeping blood glucose in range sometimes stresses you out, in result, it also impacts on your mental health.",
ExercisesScreen,#ERROR!,Exercisesscreen,
hoat_dong_trong_ngay,Hoạt động trong ngày,Daily Activities,
di_bo_trong_ngay,Đi bộ trong ngày,Walking,
so_phut_di_bo_moi_ngay,Số phút đi bộ mỗi ngày,Minutes,
them_muc_tieu_thanh_cong,Thêm mục tiêu thành công,Add goal,
xep_hang_thoi_gian_van_dong,Xếp hạng thời gian vận động,
binh_quan_trong_nhom_tuoi_cua_toi,Bình quân trong nhóm tuổi của tôi,Binh quan trong nhom tuoi cua toi,
xu_huong_dot_calo,Xu hướng đốt calo,Calories Trends,
nang_luong_dot_chay_tren_ngay,Năng lượng đốt cháy / ngày,Calories burned/day,
nang_luong_dot_chay_tren_tuan,Năng lượng đốt cháy / tuần,Calories burned/week,
tong_cong,Tổng cộng,Total,
ban_chua_nhap_thoi_gian_van_dong,Bạn chưa nhập thời gian vận động,Please enter your exercise duration,
xu_huong_thoi_gian,Xu hướng thời gian,Trends,
so_phut_van_dong_moi_ngay,Số phút vận động mỗi ngày,Duration/day,
so_phut_van_dong_moi_tuan,Số phút vận động mỗi tuần,Duration/week,
chinh_sua_van_dong,Chỉnh sửa vận động,Edit,
nhap_chi_so_van_dong,Nhập chỉ số vận động,Update,
che_do_tap_luyen_doi_voi_benh_tieu_duong,Chế độ tập luyện đối với bệnh tiểu đường,Exercise regimen for diabetes,
luong_calo_ban_da_tieu_hao,Lượng calo bạn đã tiêu hao,How many calories have you burned?,
them_hoat_dong,Thêm hoạt động,More activities,
chinh_sua_thoi_gian,Chỉnh sửa thời gian,Edit time,
ky_luc,Tuyệt vời! Bạn đã phá kỷ lục thời gian tập luyện. Kỷ lục hiện tại của bạn với bộ môn này là,Wonderful! you have broke the record. your current record with this exercise is,
chuc_mung,Chúc mừng!,Congratulations!,
hoat_dong_lower_case,hoạt động,Work,
ban_chua_chon_hoat_dong,Bạn chưa chọn hoạt động,You have not selected an activity,
chon_cuong_do_hoat_dong,Chọn cường độ hoạt động,Choose intensity,
ban_chua_chon_cuong_do,Bạn chưa chọn cường độ,You have not selected the intensity,
chon_hinh_thuc_hoat_dong,Chọn hình thức hoạt động,Choose mode,
thoi_gian_van_dong,Thời gian vận động,Time,
ban_chua_chon_hinh_thuc,Bạn chưa chọn hình thức,You have not selected a form,
ban_chua_chon_thoi_gian,Bạn chưa chọn thời gian,You have not chosen time,
chon_loai_van_dong,Chọn loại vận động,Choose type of exercise,
tim_kiem_hoat_dong,Tìm kiếm hoạt động,Search activity,
hoat_dong_pho_bien,Hoạt động phổ biến,Popular activities,
hoat_dong_thuong_xuyen,Hoạt động thường xuyên,Regular activities,
cac_hoat_dong_khac,Các hoạt động khác,Other activities,
FoodScreen,#ERROR!,#ERROR!,
nang_luong_nap_tren_ngay,Năng lượng nạp / ngày,Kcal intake / day,
ban_chua_nhap_gia_tri,Bạn chưa nhập giá trị,You have not entered the value,
ban_chua_nhap_thong_tin,Bạn chưa nhập thông tin,You have not entered information,
tinh_lai_theo_cong_thuc_tdee,Tính lại theo công thức TDEE,Recalculate by tdee . formula,
tinh_theo_tdee,Tính theo TDEE,Calculated in tdee,
nam_sinh,Năm sinh,Year of birth,
nhap_nam_sinh,Nhập năm sinh,Enter year of birth,
cuong_do_tap_luyen,Cường độ tập luyện,Exercise intensity,
chon_cuong_do_tap_luyen,Chọn cường độ tập luyện,Choose intensity,
ban_chua_nhap_can_nang,Bạn chưa nhập cân nặng,You have not entered your weight,
ban_chua_nhap_chieu_cao,Bạn chưa nhập chiều cao,You have not entered your height,
ban_chua_nhap_nam_sinh,Bạn chưa nhập năm sinh,You have not entered the year of birth,
ban_chua_chon_cuong_do_tap_luyen,Bạn chưa chọn cường độ tập luyện,You haven't chosen the intensity of your workout yet,
da_chon,Đã chọn,Selected,
mon,món,Dish,
nang_luong,Năng lượng,Calories,
dinh_duong_da_nap_theo_ngay,Dinh dưỡng đã nạp theo ngày,Daily Calories Distribution,
chat_bot_duong,Chất bột đường,Carbs,
calo,Calo,Calories,
beo,Béo,Fat,
duong,Đường,Sugar,
dam,Đạm,Protein,
xo,Xơ,Fiber,
khau_phan,Khẩu phần,Ration,
bao_gom,bao gồm,Consists of,
khau_phan_cua_ban,Khẩu phần của bạn,Your rations,
ban_chua_nhap_du_lieu,Bạn chưa nhập dữ liệu,You have not entered data,
mon_an,món ăn,Dish,
da_an,Đã ăn,Ate,
nang_luong_phan_bo,Năng lượng phân bổ,Distribution,
chon_mon,Chọn món,Choose a dish,
xu_huong_dinh_duong,Xu hướng dinh dưỡng,Nutrition Trends,
